,year,count
0,2010,11
1,2011,189
2,2012,447
3,2013,652
4,2014,905
5,2015,1387
6,2016,1871
7,2017,1608
8,2018,1845
9,2019,1854
10,2020,2175
11,2021,2891
12,2022,2238
13,2023,1042
14,2024,529
