,year,count
0,2003,1070
1,2004,4322
2,2005,9362
3,2006,23057
4,2007,35341
5,2008,46657
6,2009,31081
7,2010,51686
8,2011,77413
9,2012,95148
10,2013,129468
11,2014,141479
12,2015,147696
13,2016,175036
14,2017,198023
15,2018,276649
16,2019,260027
17,2020,290492
18,2021,445569
19,2022,468301
20,2023,319423
21,2024,226113
