,average_by_cities,area_name
0,179845.0,Москва
1,154012.0,Киев
2,153677.0,Санкт-Петербург
3,143047.0,Екатеринбург
4,127834.0,Нижний Новгород
5,126662.0,Казань
6,125796.0,Минск
7,125208.0,Краснодар
8,119781.0,Новосибирск
9,113455.0,Омск
10,102866.0,Томск
11,100193.0,Ростов-на-Дону
12,92277.0,Воронеж
13,84823.0,Алматы
