year,salary
2003,41303
2004,42967
2005,44939
2006,41318
2007,44449
2008,48411
2009,44812
2010,44658
2011,46449
2012,47462
2013,49086
2014,48552
2015,51448
2016,55613
2017,60364
2018,65444
2019,69830
2020,72724
2021,83010
2022,91456
2023,98976
2024,110326
