,count,area_name
0,6049,Москва
1,2710,Санкт-Петербург
2,992,Новосибирск
3,845,Минск
4,527,Алматы
5,495,Казань
6,432,Екатеринбург
7,413,Ростов-на-Дону
8,379,Томск
9,378,Нижний Новгород
10,310,Краснодар
11,308,Киев
12,234,Омск
13,224,Воронеж
